2024-09-20 20:41:31 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:54:44 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': 'N/A'}
2024-09-20 20:54:45 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': 'N/A'}
2024-09-20 20:54:46 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': 'N/A'}
2024-09-20 21:45:13 - USB device connected: {'Vendor ID': '0x3f0', 'Product ID': '0x9140', 'Manufacturer': 'HP', 'Product': 'x740w', 'Serial Number': '6E00018C37A79763'}
2024-09-20 21:45:14 - USB device connected: {'Vendor ID': '0x3f0', 'Product ID': '0x9140', 'Manufacturer': 'HP', 'Product': 'x740w', 'Serial Number': '6E00018C37A79763'}
2024-09-20 21:45:15 - USB device connected: {'Vendor ID': '0x3f0', 'Product ID': '0x9140', 'Manufacturer': 'HP', 'Product': 'x740w', 'Serial Number': '6E00018C37A79763'}
2024-09-20 21:45:16 - USB device connected: {'Vendor ID': '0x3f0', 'Product ID': '0x9140', 'Manufacturer': 'HP', 'Product': 'x740w', 'Serial Number': '6E00018C37A79763'}
2024-09-20 21:45:17 - USB device connected: {'Vendor ID': '0x3f0', 'Product ID': '0x9140', 'Manufacturer': 'HP', 'Product': 'x740w', 'Serial Number': '6E00018C37A79763'}
2024-09-20 21:45:18 - USB device connected: {'Vendor ID': '0x3f0', 'Product ID': '0x9140', 'Manufacturer': 'HP', 'Product': 'x740w', 'Serial Number': '6E00018C37A79763'}
2024-09-20 21:45:19 - USB device connected: {'Vendor ID': '0x3f0', 'Product ID': '0x9140', 'Manufacturer': 'HP', 'Product': 'x740w', 'Serial Number': '6E00018C37A79763'}
2024-09-20 21:45:20 - USB device connected: {'Vendor ID': '0x3f0', 'Product ID': '0x9140', 'Manufacturer': 'HP', 'Product': 'x740w', 'Serial Number': '6E00018C37A79763'}
2024-09-20 21:45:46 - USB device connected: {'Vendor ID': '0x248a', 'Product ID': '0x5b2e', 'Manufacturer': 'XCTECH', 'Product': 'USB Gaming Mouse', 'Serial Number': 'N/A'}
2024-09-20 21:45:47 - USB device connected: {'Vendor ID': '0x248a', 'Product ID': '0x5b2e', 'Manufacturer': 'XCTECH', 'Product': 'USB Gaming Mouse', 'Serial Number': 'N/A'}
2024-09-20 21:45:48 - USB device connected: {'Vendor ID': '0x248a', 'Product ID': '0x5b2e', 'Manufacturer': 'XCTECH', 'Product': 'USB Gaming Mouse', 'Serial Number': 'N/A'}
2024-09-20 21:45:49 - USB device connected: {'Vendor ID': '0x248a', 'Product ID': '0x5b2e', 'Manufacturer': 'XCTECH', 'Product': 'USB Gaming Mouse', 'Serial Number': 'N/A'}
